x1,x2,x3,y1,y2
"7,4","7,5","11,7","12,2","32,1"
"5,5","13,0","9,6","60,3","77,4"
"5,2","10,6","4,6","40,2","69,2"
"12,3","3,2","7,6","41,5","57,6"
"12,2","4,2","11,4","54,8","58,4"
"4,0","12,2","8,2",53,"68,8"
"11,1","9,6","12,1","66,6","80,3"
"7,5","6,3","5,2","35,7","56,3"
"9,7","9,5","6,9","49,4","79,4"
"4,5","10,0","8,4","49,7","59,6"
"8,2","9,0","10,5","57,7","67,3"
"3,5","12,4","4,3","41,2","71,7"
"5,3","9,5","10,1","54,6","58,6"
"5,2","3,3","6,3","30,7",31
"5,4","3,4","8,3","37,1","30,3"
"8,7","6,6","11,2","55,5","56,6"
"10,7","4,7","6,0","38,1","60,3"
"8,3","6,7","8,7","47,8",58
